,POLTITICAL_UNIT,NAME,WGMS_ID,RIVER_BASIN,FREE_POSITION,LOCAL_CODE,LOCAL_PSFG,GEN_LOCATION,SPEC_LOCATION,LATITUDE,LONGITUDE,PRIM_CLASSIFIC,FORM,FRONTAL_CHARS,EXPOS_ACC_AREA,EXPOS_ABL_AREA,PARENT_GLACIER,REMARKS,REGION,SUBREGION,GLIMS_ID,RGI_ID
444,CH,HINT. TRIFT-W,5029,,,,,,,46.585201,8.19539,,,,,,,,Central Europe,Alps,G008195E46585N,RGI50-11.01389
445,CH,BRUENBERG-N,5030,,,,,,,46.577301,8.28399,,,,,,,,Central Europe,Alps,G008285E46577N,
446,CH,BRANDLAMM-LICKEN-NE,5031,,,,,,,46.579201,8.27619,,,,,,,,Central Europe,Alps,G008276E46579N,
447,CH,BAECHLI,5032,,,,,,,46.588402,8.24763,,,,,,,,Central Europe,Alps,G008248E46587N,RGI50-11.01378
448,CH,GR. SIDELHORN-NE,5033,,,,,,,46.543999,8.28999,,,,,,,,Central Europe,Alps,G008289E46544N,
449,CH,UELISTOCK-NE,5034,,,,,,,46.5369,8.27423,,,,,,,,Central Europe,Alps,G008274E46538N,
450,CH,TALSCHIEN-N,5035,,,,,,,46.528301,8.22848,,,,,,,,Central Europe,Alps,G008227E46528N,
451,CH,ROOSSEHOERNER-NE,5036,,,,,,,46.527401,8.22065,,,,,,,,Central Europe,Alps,G008220E46528N,RGI50-11.01560
452,CH,ROOSSEHOERNER-N,5037,,,,,,,46.5275,8.21283,,,,,,,,Central Europe,Alps,G008213E46527N,
453,CH,HINT. TIERBERG-NE,5038,,,,,,,46.5499,8.21706,,,,,,,,Central Europe,Alps,G008220E46550N,RGI50-11.01485
454,CH,ESCHERHORN-W,5039,,,,,,,46.5564,8.19368,,,,,,,,Central Europe,Alps,G008194E46556N,
455,CH,GRUNERHORN-N,5040,,,,,,,46.5439,8.18047,,,,,,,,Central Europe,Alps,G008181E46543N,RGI50-11.01499
456,CH,STUDERHORN-NE,5041,,,,,,,46.5368,8.1556,,,,,,,,Central Europe,Alps,G008155E46537N,RGI50-11.01528
457,CH,FINSTERAARHORN-E,5042,,,,,,,46.536098,8.13343,,,,,,,,Central Europe,Alps,G008135E46536N,RGI50-11.01535
458,CH,LAUTERAAR-ROTHOERNER-NE (PART OF A54G/50N),5043,,,,,,,46.569199,8.15864,,,,,,,,Central Europe,Alps,G008158E46569N,RGI50-11.01435
459,CH,EWIGSCHNEEHORN-W,5044,,,,,,,46.598,8.16163,,,,,,,,Central Europe,Alps,G008162E46597N,RGI50-11.01369
460,CH,EWIGSCHNEEHORN-S,5045,,,,,,,46.594299,8.16942,,,,,,,,Central Europe,Alps,G008169E46594N,RGI50-11.01375
461,CH,MISELENEGG-N,5046,,,,,,,46.583401,8.18884,,,,,,,,Central Europe,Alps,G008189E46582N,RGI50-11.01399
462,CH,HINT. TRIFT-MITTE,5047,,,,,,,46.585998,8.20323,,,,,,,,Central Europe,Alps,G008202E46586N,RGI50-11.01388
463,CH,HINT. TRIFT-E,5048,,,,,,,46.584999,8.21104,,,,,,,,Central Europe,Alps,G008209E46585N,RGI50-11.01392
464,CH,HIENDERSTOCK-SE (PART OF A54G/61N),5049,,,,,,,46.584999,8.21887,,,,,,,,Central Europe,Alps,G008218E46585N,RGI50-11.01393
465,CH,BAECHLISTOCK-S,5050,,,,,,,46.5821,8.24101,,,,,,,,Central Europe,Alps,G008241E46583N,
466,CH,FELLENBERGLICKEN-SW,5051,,,,,,,46.5821,8.24492,,,,,,,,Central Europe,Alps,G008244E46582N,
467,CH,JUCHLISTOCK-W,5052,,,,,,,46.579899,8.30099,,,,,,,,Central Europe,Alps,G008301E46579N,
468,CH,BRUENBERG-NE,5053,,,,,,,46.578201,8.29444,,,,,,,,Central Europe,Alps,G008296E46578N,
469,CH,BRUENBERG-NW,5054,,,,,,,46.5765,8.27745,,,,,,,,Central Europe,Alps,G008277E46577N,
470,CH,BRANDLAMMHORN-E,5055,,,,,,,46.5811,8.26317,,,,,,,,Central Europe,Alps,G008267E46579N,RGI50-11.01409
471,CH,ALPLISTOCK-NE,5056,,,,,,,46.595299,8.28558,,,,,,,,Central Europe,Alps,G008286E46596N,
472,CH,ALPLISTOCK-W,5057,,,,,,,46.595402,8.27644,,,,,,,,Central Europe,Alps,G008278E46596N,
473,CH,CHLYNE DIAMANTSTOCK-NE,5058,,,,,,,46.598099,8.27127,,,,,,,,Central Europe,Alps,G008270E46598N,
