,POLITICAL_UNIT,NAME,WGMS_ID,RIVER_BASIN,FREE_POSITION,LOCAL_CODE,LOCAL_PSFG,GEN_LOCATION,SPEC_LOCATION,LATITUDE,LONGITUDE,PRIM_CLASSIFIC,FORM,FRONTAL_CHARS,EXPOS_ACC_AREA,EXPOS_ABL_AREA,PARENT_GLACIER,REMARKS,GEO-REGION_CODE,GEO-SUBREGION_CODE,FoG_compname,AREA,MATCH_RATIO,MATCH_NAME,AREA_MATCH,DIST_TO_CLOSEST,CLOSEST,AREA_CLOSEST
713,CH,BRESCIANA,465,L0124,4,  2,0103,WESTERN ALPS,TESSIN BASIN,46.5,9.03,6.0,3,6.0,W,W,,Remarks from LAT/LON-Check: controlled and was okay.,CEU,CEU-01,bresciana,0.94,0.6206896551724138,bresciana vadrecc di,0.48108999999999996,423.70960737449604,bresciana vadrecc di,0.48108999999999996
714,CH,BRUNEGG,384,N0126,0, A9,0020,WESTERN ALPS,RHONE BASIN,46.15,7.7,5.0,3,0.0,NW,NW,,"Remarks from LAT/LON-Check: controlled and was not exact or clear, but not corrected.",CEU,CEU-01,brunegg,6.12,0.9333333333333333,bruneggg,5.525,2167.801139568511,diablons g-s,0.17922000000000002
715,CH,BRUNNI,427,R0135,1,D72,0072,WESTERN ALPS,REUSS BASIN,46.73,8.78,6.0,2,4.0,E,N,,Remarks from LAT/LON-Check: controlled and was okay.,CEU,CEU-01,brunni,2.99,0.75,brunnifirn,2.31,249.59783660075556,piz ault-nw,0.01515
716,CH,CALDERAS,403,J1433,5, 17,0095,EASTERN ALPS,INN BASIN,46.52,9.7,6.0,1,7.0,N,NE,,Remarks from LAT/LON-Check: controlled and corrected with maps. Former LAT/LON: 46.53 / 9.72.,CEU,CEU-01,calderas,1.2,0.8888888888888888,calderas v,0.66859,1049.2272038570268,calderas v,0.66859
717,CH,CAMBRENA,399,L0119,3,  9,0099,EASTERN ALPS,ADDA BASIN,46.39,9.99,6.0,1,4.0,NE,NE,,Remarks from LAT/LON-Check: controlled and corrected with maps. Former LAT/LON: 46.4 / 10.,CEU,CEU-01,cambrena,1.72,0.8888888888888888,cambrena-e,0.006679999999999999,386.3098096020444,cambrena v dal,1.26563
718,CH,CAVAGNOLI,464,L0121,4, 17,0119,WESTERN ALPS,TESSIN BASIN,46.45,8.48,6.0,2,8.0,NE,E,,Remarks from LAT/LON-Check: controlled and was okay.,CEU,CEU-01,cavagnoli,1.32,0.5925925925925926,cavagnoeoe gh. del,0.42828,536.925213306121,p. del arzo-nw,0.14140999999999998
719,CH,CHEILLON,375,N0127,4,  8,0029,WESTERN ALPS,RHONE BASIN,46.0,7.42,5.0,1,7.0,N,N,,Remarks from LAT/LON-Check: controlled and was okay.,CEU,CEU-01,cheillon,4.73,0.7,cheilon g de,3.6031199999999997,500.52555438143406,cheilon g de,3.6031199999999997
720,CH,CLARIDENFIRN,2660,4R014,OI,19,0141,WESTERN ALPS,LINTH BASIN,46.84,8.9,6.0,0,0.0,,,,,CEU,CEU-01,claridenfirn,,0.8888888888888888,clariden firn-i,1.60125,728.9831853702257,clariden firn-ii,2.20438
721,CH,CORBASSIERE,366,N0128,3,  3,0038,WESTERN ALPS,RHONE BASIN,45.98,7.3,5.0,1,9.0,N,N,,Remarks from LAT/LON-Check: controlled and was okay.,CEU,CEU-01,corbassiere,15.99,1.0,corbassiere,15.21625,1101.8731735372378,combin de corbassiere-e,0.40609
722,CH,CORNO,468,L0123,4,  1,0120,WESTERN ALPS,TESSIN BASIN,46.45,8.38,6.0,5,6.0,N,N,,"Remarks from LAT/LON-Check: controlled and was not exact or clear, but not corrected.",CEU,CEU-01,corno,0.27,0.5555555555555556,corno gh. del,0.10935,882.1799136172552,corno gh. del,0.10935
723,CH,CROSLINA,1681,4L012,32,002,121,ALPS,TESSIN ALPS,46.43,8.73,,,,NE,NE,,Remarks from LAT/LON-Check: controlled and was okay.,CEU,CEU-01,croslina,0.42,0.6666666666666666,saleina,6.54063,315.33747200554654,croslina grande gh. di,0.11862
724,CH,DAMMA,429,R0135,1,F10,0070,WESTERN ALPS,REUSS BASIN,46.63,8.45,6.0,1,6.0,E,NE,,Remarks from LAT/LON-Check: controlled and was okay.,CEU,CEU-01,damma,6.32,0.9090909090909091,dammag,4.24812,1426.0564334567994,sunnig-ii,0.0569
725,CH,DOLENT GL. DU,2673,4N013,85,4,0,,,45.92,7.65,6.0,4,4.0,E,E,,,CEU,CEU-01,dolent gl. du,,0.9166666666666666,dolent g du,1.26625,4833.151685160592,furgggrat,0.04412
726,CH,DUNGEL,1678,4R014,6D,001,112,ALPS,BERNESE ALPS,46.37,7.37,6.0,0,0.0,NE,N,,Remarks from LAT/LON-Check: controlled and was okay.,CEU,CEU-01,dungel,1.21,0.7692307692307693,tungelg,0.9325,754.9166599572166,tungelg,0.9325
727,CH,EIGER,442,N0125,4,M 3,0059,WESTERN ALPS,AARE BASIN,46.57,7.98,6.0,1,6.0,W,NW,,Remarks from LAT/LON-Check: controlled and was okay.,CEU,CEU-01,eiger,2.27,0.9090909090909091,eigerg,1.53875,863.6808028446412,rotstock-s,0.0484
728,CH,EIGER (WEST),475,4R014,4M,  2,0353,ALPS,CENTRAL ALPS,46.57,7.98,6.0,3,7.0,W,W,,Remarks from LAT/LON-Check: controlled and was okay.,CEU,CEU-01,eiger (west),0.35,0.6666666666666666,eiger suedwestgrat,0.08465,863.6808028446412,rotstock-s,0.0484
729,CH,EN DARREY,374,N0127,4, 11,0030,WESTERN ALPS,RHONE BASIN,46.02,7.38,6.0,3,9.0,NE,NE,,Remarks from LAT/LON-Check: controlled and was okay.,CEU,CEU-01,en darrey,1.86,0.6923076923076923,en darrey g de l',1.28375,555.4487122459194,en darrey g de l',1.28375
730,CH,FEE NORTH,392,N0125,3,  4,0013,WESTERN ALPS,RHONE BASIN,46.08,7.88,6.0,0,6.0,NE,NE,,Remarks from LAT/LON-Check: controlled and was okay.,CEU,CEU-01,fee north,16.66,0.5263157894736842,ofenhorn-w,0.01163,710.1291073736026,feeg-n-i,2.08312
731,CH,FERPECLE,379,N0127,2, 11,0025,WESTERN ALPS,RHONE BASIN,46.02,7.58,5.0,3,8.0,NW,N,,Remarks from LAT/LON-Check: controlled and was okay.,CEU,CEU-01,ferpecle,9.79,0.7619047619047619,ferpecle g de,9.00563,1672.8430383250993,manzettes g des,0.90469
732,CH,FIESCHER,471,N0124,0,  7,0004,WESTERN ALPS,RHONE BASIN,46.5,8.15,5.0,1,9.0,SE,S,,Remarks from LAT/LON-Check: controlled and was okay.,CEU,CEU-01,fiescher,33.06,0.8,fiescherwand,0.01542,1160.7523179631967,wasenhorn-s,0.0076
733,CH,FINDELEN,389,N0125,6,  3,0016,WESTERN ALPS,RHONE BASIN,46.0,7.87,5.0,1,6.0,NW,W,,Remarks from LAT/LON-Check: controlled and was okay.,CEU,CEU-01,findelen,19.09,0.9411764705882353,findeleng,14.196879999999998,683.7933275532642,findeleng,14.196879999999998
734,CH,FIRNALPELI,424,R0135,1,H13,0075,WESTERN ALPS,REUSS BASIN,46.78,8.47,6.0,0,6.0,NW,N,,Remarks from LAT/LON-Check: controlled and was okay.,CEU,CEU-01,firnalpeli,1.18,0.8695652173913043,firnalpelig-e,0.60828,964.4250670424622,firnalpelifirn,0.29109
735,CH,FLUCHTHORN GL.,3426,,,,,WESTERN ALPS,RHONE BASIN,46.01,7.91,,,,SE,SE,,,CEU,CEU-01,fluchthorn gl.,,0.7692307692307693,fluchthorn-e,0.018619999999999998,188.7583702219388,strahlhorn-e,0.5453100000000001
736,CH,FORNO,396,L0118,3, 12,0102,EASTERN ALPS,ADDA BASIN,46.3,9.7,5.0,1,9.0,N,N,,Remarks from LAT/LON-Check: controlled and was okay.,CEU,CEU-01,forno,8.77,0.5333333333333333,ofenhorn-w,0.01163,246.09508778624564,forno vadrec del,6.25563
737,CH,GAMCHI,440,R0135,5,A 4,0061,WESTERN ALPS,AARE BASIN,46.51,7.79,6.0,1,9.0,N,N,,Remarks from LAT/LON-Check: controlled and corrected with maps. Former LAT/LON: 46.52 / 7.8.,CEU,CEU-01,gamchi,1.73,0.9230769230769231,gamchig,1.23625,865.8912650116963,wildi frau-sw,0.017269999999999997
738,CH,GAULI,449,R0135,4,I 5,0052,WESTERN ALPS,AARE BASIN,46.62,8.18,5.0,1,6.0,E,E,,"Remarks from LAT/LON-Check: controlled and was not exact or clear, but not corrected.",CEU,CEU-01,gauli,13.7,0.9090909090909091,gaulig,11.4,577.7297853145188,hangendghorn-s,0.00655
739,CH,GELTEN,1679,4R014,6D,004,113,ALPS,BERNESE ALPS,46.35,7.33,6.0,0,0.0,N,N,,Remarks from LAT/LON-Check: controlled and was okay.,CEU,CEU-01,gelten,1.17,0.8,gelteng-e,0.81719,866.7979655502256,gelteng-e,0.81719
740,CH,GIETRO,367,N0128,2, 14,0037,WESTERN ALPS,RHONE BASIN,46.0,7.38,6.0,3,4.0,NW,W,,Remarks from LAT/LON-Check: controlled and was okay.,CEU,CEU-01,gietro,5.54,0.7058823529411765,gietro g du,5.16812,1299.4250158763837,gietro g du,5.16812
